,Input Rate,Throughput,Method
0,0.0,0.0,One-to-One Stable Matching (Node)
1,0.5,0.4766666666666667,One-to-One Stable Matching (Node)
2,1.0,0.8941666666666667,One-to-One Stable Matching (Node)
3,1.5,1.2804166666666668,One-to-One Stable Matching (Node)
4,2.0,1.6120833333333333,One-to-One Stable Matching (Node)
5,2.5,1.8945833333333333,One-to-One Stable Matching (Node)
6,3.0,2.2025,One-to-One Stable Matching (Node)
7,3.5,2.4458333333333333,One-to-One Stable Matching (Node)
8,4.0,2.6508333333333334,One-to-One Stable Matching (Node)
9,4.5,2.8758333333333335,One-to-One Stable Matching (Node)
10,5.0,3.04625,One-to-One Stable Matching (Node)
11,5.5,3.20875,One-to-One Stable Matching (Node)
12,6.0,3.4141666666666666,One-to-One Stable Matching (Node)
13,6.5,3.51125,One-to-One Stable Matching (Node)
14,7.0,3.6729166666666666,One-to-One Stable Matching (Node)
15,7.5,3.795,One-to-One Stable Matching (Node)
16,8.0,3.9141666666666666,One-to-One Stable Matching (Node)
17,8.5,4.04,One-to-One Stable Matching (Node)
18,9.0,4.1225,One-to-One Stable Matching (Node)
19,9.5,4.215416666666667,One-to-One Stable Matching (Node)
20,10.0,4.237916666666667,One-to-One Stable Matching (Node)
21,0.0,0.0,One-to-One Stable Matching (Channel)
22,0.5,0.49041666666666667,One-to-One Stable Matching (Channel)
23,1.0,0.89375,One-to-One Stable Matching (Channel)
24,1.5,1.24125,One-to-One Stable Matching (Channel)
25,2.0,1.5704166666666666,One-to-One Stable Matching (Channel)
26,2.5,1.8808333333333334,One-to-One Stable Matching (Channel)
27,3.0,2.1479166666666667,One-to-One Stable Matching (Channel)
28,3.5,2.424166666666667,One-to-One Stable Matching (Channel)
29,4.0,2.6358333333333333,One-to-One Stable Matching (Channel)
30,4.5,2.8575,One-to-One Stable Matching (Channel)
31,5.0,3.0458333333333334,One-to-One Stable Matching (Channel)
32,5.5,3.2358333333333333,One-to-One Stable Matching (Channel)
33,6.0,3.337083333333333,One-to-One Stable Matching (Channel)
34,6.5,3.4879166666666666,One-to-One Stable Matching (Channel)
35,7.0,3.6566666666666667,One-to-One Stable Matching (Channel)
36,7.5,3.74875,One-to-One Stable Matching (Channel)
37,8.0,3.8720833333333333,One-to-One Stable Matching (Channel)
38,8.5,4.004583333333334,One-to-One Stable Matching (Channel)
39,9.0,4.065833333333333,One-to-One Stable Matching (Channel)
40,9.5,4.207916666666667,One-to-One Stable Matching (Channel)
41,10.0,4.227916666666666,One-to-One Stable Matching (Channel)
42,0.0,0.0,One-to-Many Stable Matching
43,0.5,0.4841666666666667,One-to-Many Stable Matching
44,1.0,0.905,One-to-Many Stable Matching
45,1.5,1.2804166666666668,One-to-Many Stable Matching
46,2.0,1.6208333333333333,One-to-Many Stable Matching
47,2.5,1.915,One-to-Many Stable Matching
48,3.0,2.2291666666666665,One-to-Many Stable Matching
49,3.5,2.4908333333333332,One-to-Many Stable Matching
50,4.0,2.67625,One-to-Many Stable Matching
51,4.5,2.9408333333333334,One-to-Many Stable Matching
52,5.0,3.0941666666666667,One-to-Many Stable Matching
53,5.5,3.330416666666667,One-to-Many Stable Matching
54,6.0,3.502083333333333,One-to-Many Stable Matching
55,6.5,3.6158333333333332,One-to-Many Stable Matching
56,7.0,3.84875,One-to-Many Stable Matching
57,7.5,3.98375,One-to-Many Stable Matching
58,8.0,4.051666666666667,One-to-Many Stable Matching
59,8.5,4.205,One-to-Many Stable Matching
60,9.0,4.3325,One-to-Many Stable Matching
61,9.5,4.38,One-to-Many Stable Matching
62,10.0,4.5475,One-to-Many Stable Matching
63,0.0,0.0,Optimal Selling Mechanism (Energy)
